,Name,Duration,Mg,+/-,Al,+/-.1,Si,+/-.2,P,+/-.3,S,+/-.4,Cl,+/-.5,Ar,+/-.6,K,+/-.7,Ca,+/-.8,Sc,+/-.9,Ti,+/-.10,V,+/-.11,Cr,+/-.12,Mn,+/-.13,Fe,+/-.14,Co,+/-.15,Ni,+/-.16,Cu,+/-.17,Zn,+/-.18,Ga,+/-.19,Ge,+/-.20,As,+/-.21,Se,+/-.22,Br,+/-.23,Kr,+/-.24,Rb,+/-.25,Sr,+/-.26,Y,+/-.27,Zr,+/-.28,Nb,+/-.29,Mo,+/-.30,Tc,+/-.31,Ru,+/-.32,Rh,+/-.33,Pd,+/-.34,Ag,+/-.35,Cd,+/-.36,In,+/-.37,Sn,+/-.38,Sb,+/-.39,Te,+/-.40,I,+/-.41,Xe,+/-.42,Cs,+/-.43,Ba,+/-.44,La,+/-.45,Ce,+/-.46,Pr,+/-.47,Nd,+/-.48,Pm,+/-.49,Sm,+/-.50,Eu,+/-.51,Gd,+/-.52,Tb,+/-.53,Dy,+/-.54,Ho,+/-.55,Er,+/-.56,Tm,+/-.57,Yb,+/-.58,Lu,+/-.59,Hf,+/-.60,Ta,+/-.61,W,+/-.62,Re,+/-.63,Os,+/-.64,Ir,+/-.65,Pt,+/-.66,Au,+/-.67,Hg,+/-.68,Tl,+/-.69,Pb,+/-.70,Bi,+/-.71,Po,+/-.72,At,+/-.73,Rn,+/-.74,Fr,+/-.75,Ra,+/-.76,Ac,+/-.77,Th,+/-.78,Pa,+/-.79,U,+/-.80
0,MP-865,60.5,0.0,0.0,18.8877,0.2177,4.9946,0.0688,26.0098,0.0933,0.1695,0.0126,0.7546,0.0145,,,0.5618,0.0111,1.8832,0.0128,,,0.2618,0.0038,0.0992,0.019,0.2493,0.0092,,,8.3415,0.0299,,,,,0.0104,0.0014,0.0213,0.0012,,,,,0.1508,0.0017,,,,,,,,,0.1196,0.0013,,,0.0099,0.001,,,0.0064,0.001,,,,,,,,,,,,,,,0.0157,0.0045,0.0197,0.005,,,,,,,,,0.0993,0.0159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MP-1021,60.531,10.2218,0.6846,0.4553,0.1273,3.6226,0.0696,0.8093,0.024,0.0525,0.0089,0.8555,0.0131,,,,,2.5375,0.0134,,,0.0479,0.0025,,,0.0488,0.0055,0.0578,0.0056,0.4553,0.0066,0.5228,0.0076,34.1881,0.0449,0.0076,0.002,0.017,0.0031,,,,,22.1671,0.0331,0.0255,0.002,,,,,,,,,,,0.0082,0.0017,,,,,,,,,,,,,,,,,,,0.0385,0.0086,1.2523,0.0171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0444,0.005,,,,,,,,,,,,,,,,,,,,,,,,
2,MP-1022,60.532,16.8766,0.7618,0.587,0.1393,1.1431,0.052,0.1313,0.0185,0.0294,0.0092,0.627,0.0123,,,,,1.0133,0.0091,,,0.0272,0.0023,,,,,0.0181,0.0044,0.1761,0.0046,0.3748,0.0063,29.3459,0.0405,0.0192,0.0018,0.0248,0.0027,,,,,25.0514,0.0345,0.0312,0.002,,,,,,,,,,,,,,,,,,,,,,,,,0.0341,0.0061,,,,,0.0405,0.0082,0.8609,0.0153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0509,0.0064,,,,,,,,,,,0.0738,0.0051,,,,,,,,,,,,,,,,,,,,,,,,
3,MP-1023,60.532,7.2462,0.6841,2.8523,0.1682,5.2053,0.0813,0.2134,0.0207,0.0531,0.0093,0.6414,0.0121,,,,,4.0031,0.0169,,,0.0664,0.0028,,,,,0.0295,0.0052,0.4583,0.007,0.7118,0.0086,29.0196,0.0414,0.0149,0.002,0.0201,0.0028,,,,,22.7625,0.0323,0.0315,0.0018,,,,,,,,,,,0.0072,0.0015,,,,,,,,,,,,,0.0207,0.0055,,,,,,,1.4464,0.0176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0258,0.0065,,,,,,,,,,,0.073,0.0047,,,,,,,,,,,,,,,,,,,,,,,,
4,MP-1024,60.53,8.0177,0.6825,2.2545,0.1643,4.0428,0.0761,0.2139,0.0216,0.0464,0.0099,0.6431,0.0127,,,,,3.2294,0.0157,,,0.053,0.0031,,,,,0.0235,0.0056,0.6012,0.0083,0.7876,0.0095,29.3518,0.0431,0.0076,0.0022,0.017,0.0031,,,,,24.1147,0.0342,0.0256,0.0021,,,,,,,,,,,,,,,,,,,,,,,,,0.0235,0.0061,,,,,,,2.951,0.0254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0307,0.0075,,,,,,,,,,,0.0693,0.0052,,,,,,,,,,,,,,,,,,,,,,,,
5,MP-1025,60.532,8.406,0.6915,2.5543,0.1635,6.0062,0.0852,0.4862,0.0233,0.0296,0.0094,0.4109,0.0109,,,,,2.9456,0.0147,,,0.0575,0.0029,,,,,0.0251,0.005,0.9993,0.01,0.3521,0.0069,28.0704,0.0414,,,0.0165,0.0028,,,,,20.1142,0.0299,0.0251,0.0017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1451,0.0241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0655,0.0045,,,,,,,,,,,,,,,,,,,,,,,,
6,MP-1026,60.53,10.9548,0.7152,1.0938,0.1438,2.1355,0.0594,0.7705,0.0246,0.0417,0.0089,0.4957,0.0112,,,,,4.2729,0.0177,,,0.0586,0.0032,,,,,0.017,0.0055,0.3208,0.0067,0.5755,0.0084,28.0717,0.0433,,,0.0184,0.003,,,,,22.5955,0.0326,0.0269,0.002,,,,,,,,,,,0.0075,0.0016,,,,,,,,,,,,,0.0304,0.0056,,,,,,,5.9252,0.0343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0674,0.0052,,,,,,,,,,,,,,,,,,,,,,,,
7,MP-1027,60.5,8.3268,1.4554,2.3296,0.3369,3.5179,0.1419,0.9686,0.0542,0.0,0.0,0.4966,0.0224,,,,,5.154,0.038,,,0.0494,0.0059,,,0.053,0.0173,0.0434,0.0129,0.5461,0.0148,0.5797,0.0153,27.5849,0.0776,,,0.0186,0.006,,,,,21.1081,0.0566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2285,0.0581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0697,0.0108,,,,,,,,,,,,,,,,,,,,,,,,
8,MP-1028,60.528,0.0,0.0,2.5116,0.2395,4.2083,0.105,0.116,0.0284,0.1125,0.015,1.538,0.0231,,,0.5841,0.0164,4.4821,0.0245,,,0.1083,0.0049,,,0.0599,0.009,0.0287,0.0076,1.013,0.0131,0.8032,0.0125,33.2428,0.0581,,,0.0222,0.0044,,,,,29.5366,0.049,0.0302,0.0031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0552,0.0288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0573,0.0076,,,,,,,,,,,,,,,,,,,,,,,,
9,MP-1029,60.532,0.0,0.0,2.8912,0.2509,4.1759,0.1068,0.0,0.0,0.0792,0.0151,1.4499,0.023,,,0.6216,0.017,5.711,0.0279,,,0.1139,0.0052,,,0.0424,0.0097,,,0.6684,0.0112,1.015,0.0138,33.2024,0.0589,,,0.0191,0.0046,,,,,27.6833,0.0478,0.0241,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1256,0.0291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0514,0.0075,,,,,,,,,,,,,,,,,,,,,,,,
