id_inv,Mg,Al,Si,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Pd,Ag,Cd,In,Sn,Sb,Te,Ba,Ta,W,Au,Hg,Tl,Pb,Th
MP-700,0.021382627755243747,42.869383447485596,12.344676785037027,28.192817519224654,0.5197858068501406,6.801766061047483,1.00131362582856,4.038675828790833,0.00011560555390750736,0.31279784307147834,0.29330438671915077,0.4210931967577741,9.459841413797358e-05,2.8422066983620407,8.818569690855705e-05,8.85462947184842e-05,0.010713707322954569,0.01041317292053336,7.453849771111389e-06,7.155511050408913e-06,0.11937907490783134,6.580957156313068e-06,6.504114532328786e-06,6.080694149754286e-06,0.05741545480806674,5.845553366377964e-06,0.00683642156789265,5.5938773339848805e-06,0.01267440496262018,5.142027976562771e-06,4.883525348535983e-06,0.011225869660024238,0.012159161814812199,4.526256467437723e-06,0.016154583374707484,4.268271744342964e-06,4.072921376106578e-06,0.0653949943126692,0.015624344760351724,2.8269406418146178e-06,2.638550651336775e-06,2.590880739773664e-06,0.002339374537920978,2.5082276428146683e-06,2.239739902909003e-06
marmora profesor,0.0,2.2515015514454424,2.229717707898108,0.0,0.19398593862548877,2.026799374914954,0.00015798559203246456,93.03880810957288,0.00013740230624591926,0.02296972612774528,0.00012125398840417139,0.00011879607426119891,0.00011243439290264116,0.22387120513609896,0.00010481259527404509,0.004630611994625478,0.006804274815251487,9.447722051522332e-06,8.859229633385396e-06,8.504640888455597e-06,8.244468483603347e-06,7.821758211603372e-06,7.73042735943795e-06,7.227173535458066e-06,7.049669798316936e-06,6.947698330017433e-06,6.771157455587673e-06,6.648570250882935e-06,6.437645312439083e-06,6.1115273348029086e-06,5.804285545278425e-06,5.726369894023529e-06,5.4949432682613795e-06,5.379655702216774e-06,5.203370126598686e-06,5.073029465575969e-06,4.840846925772178e-06,4.497965205156525e-06,3.4136440730404864e-06,3.359943797478949e-06,3.1360339740286644e-06,3.0793761789148505e-06,3.022228207475817e-06,2.981139323014141e-06,2.6620297870544048e-06
Marmota_1581,10.536194808066341,9.313175210285522,44.24518118391205,1.5975764392381746,1.9969891929032737,6.036153966918183,0.00016503104929100498,7.068514346804114,0.0001435298401775045,1.7442883094705222,0.00012666137892465378,0.1884985622568656,0.13095504243284029,16.69335545329331,0.00010948677252438725,0.28330113434767557,0.009950801444427846,0.031975717416919965,9.254312013510196e-06,8.883910181990518e-06,8.612135240890144e-06,8.170573964087719e-06,8.075170160667442e-06,7.549473446412357e-06,7.364053829239572e-06,7.257534885361744e-06,0.004243872642186079,6.945067019546329e-06,0.005447035968520654,6.384074369426847e-06,6.063130957695652e-06,0.027934728665952143,5.739993386038478e-06,5.619564505469181e-06,5.435417374424828e-06,5.299264097552326e-06,5.056727245438647e-06,0.05915480140220976,3.565877470422283e-06,3.509782400554675e-06,0.026436409633642494,3.2167027095965463e-06,3.1570061918944885e-06,3.1140849252797845e-06,2.7807445182167204e-06
Marmota_1836,0.0,28.89791887694943,40.3232064854421,1.2083071395392002,0.4664247646237275,2.163570025752229,21.502320887765286,1.1661942399512868,0.0001346907868521677,2.071385783277193,0.00011886114253345371,0.42411721255759216,0.00011021559435980923,1.6257325579398396,0.00010274420652162964,0.00010316433514966349,9.528568789442608e-06,0.002870996543455417,8.68440015911421e-06,8.336808925979899e-06,8.081770805556713e-06,7.667402366614578e-06,7.577873852296756e-06,0.020403507804166346,0.0026951146838008304,6.810591324476637e-06,0.021505611249586738,6.5173662873648635e-06,6.310603775861594e-06,5.9909214632820824e-06,5.689742833056944e-06,5.613364781899359e-06,5.386505166700055e-06,5.27349270417976e-06,5.1006859766988455e-06,4.972917479417871e-06,4.74531686750721e-06,0.10264621395503037,3.346278667318345e-06,3.2936381217032197e-06,3.0741469710199728e-06,3.0186072700230318e-06,2.9625870659199635e-06,2.9223090361675674e-06,2.609496859539903e-06
Marmota_1890,0.0,29.41624810540981,35.391492116709756,1.1512134647646877,0.8742861615151248,2.691022380541857,23.82867526633402,0.8991881975246715,0.00013416546097150164,0.43143589554938644,0.00011839755600435508,0.21343548096530296,0.00010978572751053652,4.859147474870476,0.00010234347984955554,0.00010276196987671198,9.491405120658824e-06,9.225157996289165e-06,8.650528947368668e-06,8.304293402139414e-06,8.050249990622056e-06,7.637497686459403e-06,7.548318354492712e-06,0.046505102124359654,0.013973703315324043,6.78402840975171e-06,0.002115726843102291,6.491947019540026e-06,6.2859909306658225e-06,5.967555454609534e-06,5.667551492176148e-06,0.012468981073610061,5.365496524338237e-06,5.252924837113619e-06,5.080792096684236e-06,4.953521926719658e-06,4.726809010951298e-06,0.1652272169127531,0.002866575555550498,3.2807921551206793e-06,3.062157071765612e-06,3.0068339887202035e-06,2.9510322766442685e-06,2.9109113407209733e-06,2.599319205463698e-06
Marmota_1985A,0.0,19.010696244395728,22.319967567856384,8.575229641526432,2.7220285094581085,14.521694379237774,0.00015703337208859702,11.10454028916195,0.00013657414707863344,0.16392347168808818,0.0001205231593168695,0.10615397363154952,0.00011175672179402172,20.98906807891705,0.00010418086270714144,0.31423902524811437,9.661805277940336e-06,0.13344295810811063,8.805832769559494e-06,8.453381222525082e-06,8.19477694391496e-06,7.774614455838175e-06,7.68383407829391e-06,7.183613495015639e-06,0.010370625835701381,6.9058227587788965e-06,6.730345941769672e-06,6.608497601791022e-06,6.398843962397047e-06,6.074691581992645e-06,5.76930161804169e-06,5.691855584529209e-06,5.4618238267784874e-06,5.347231128653516e-06,5.172008071704125e-06,5.042453007490117e-06,4.811669891786808e-06,4.470854807809074e-06,3.3930691590512004e-06,3.339692548912079e-06,0.02786716265262253,3.0608159838077497e-06,3.0040124579441374e-06,2.9631712267953503e-06,2.64598504638032e-06
Marmota_1999,0.0,23.77997907641779,24.16478052184729,6.535187897197811,2.098305559118992,10.984901733103934,0.914951425796679,5.413279071738879,0.000141970777778665,0.1654674353304886,0.00012528554660280094,0.10187910495967199,0.30960027084315583,25.245184788445442,0.0745086770527114,0.1556074153105494,1.0043584671009797e-05,0.05593538985190966,9.153789015159827e-06,8.787410594850455e-06,8.518587751314548e-06,8.08182284008039e-06,7.987455340208108e-06,7.4674688948377004e-06,7.284063358867708e-06,7.178701454389901e-06,6.9962907952292e-06,6.869627704389259e-06,6.651689749911293e-06,6.314728717759855e-06,5.997271485660483e-06,5.91676522698102e-06,5.677643927231219e-06,5.558523179794362e-06,5.376376307842546e-06,5.241701967016989e-06,5.0017996199372145e-06,4.647517469281267e-06,3.5271438839002835e-06,3.471658134812819e-06,3.240303562564039e-06,3.1817619597387135e-06,3.122713882778844e-06,3.080258839304964e-06,2.7505392716020156e-06
Marmota_2,0.0,29.3483428436235,34.88023759990038,1.0717409493178076,0.5932286112470372,2.478439887221285,18.73874490359863,9.104525927639397,0.00013445550496749795,0.5016940445016087,0.00011865351234372168,0.21843057806954885,0.00011002306647154738,2.7664074965453795,0.00010256472987653557,0.00010298412461134838,9.511924001217812e-06,0.004345197608033832,8.669229989836742e-06,8.322245939438071e-06,8.067653327212128e-06,7.654008719420888e-06,7.564636596182758e-06,0.036846035997671944,0.06574250406528895,6.798694380372383e-06,0.0028491540681179995,6.505981557503143e-06,0.003275781716960096,5.9804563429443655e-06,5.679803820535492e-06,5.603559188836236e-06,5.377095858780609e-06,5.264280809801316e-06,0.009368867741131767,4.964230638809026e-06,4.737027606437203e-06,0.17509165032577406,3.3404332879135834e-06,3.2878846963739505e-06,3.068776959380741e-06,3.0133342767904036e-06,2.957411930451099e-06,2.9172042595626786e-06,2.6049385125771947e-06
Marmota_3,0.0,28.147955998759517,36.79818566859104,1.2930261038443878,0.6490599640763339,2.5896847000582492,23.795213074663586,1.5252171055113863,0.00013415074979101994,2.481996261517318,0.00011838457376732954,0.42601226195341024,0.00010977368955650554,2.090594150555319,0.000102332257934524,0.00010275070207444333,9.490364392495675e-06,0.0039663829786598034,8.649580420887371e-06,8.303382840224842e-06,8.049367284449563e-06,7.636660238385358e-06,7.547490684890997e-06,0.02758953128808938,0.0037855635999434105,6.783284544187458e-06,0.030873003034852953,6.491235180564551e-06,0.0035197689378207078,5.966901114925599e-06,5.6669300477873546e-06,5.590858231222701e-06,5.364908200136376e-06,5.252348856344978e-06,0.009144422982343142,4.952978775341083e-06,4.726290718538639e-06,0.12348963017234126,3.3328619033398003e-06,3.280432417784651e-06,3.0618213076649276e-06,3.0065042907698797e-06,2.9507086973257567e-06,2.9105921606444507e-06,2.5990341913200866e-06
Marmota_5,0.0,34.30376634897746,36.72254993809202,1.094202862481116,0.6544586036356047,2.764748864468766,20.582179449526038,0.6428825380874766,0.0001329171181151771,0.18974323329640536,0.00011729592565795976,0.07584604141881565,0.00010876422594320481,2.7902871825957942,0.00010139122469359757,0.0001018058208792835,9.40309231874199e-06,9.13932249138542e-06,8.570040079841353e-06,8.227026084080665e-06,7.97534642010062e-06,7.5664345707510175e-06,7.478085008094446e-06,0.04306615401832915,0.03962158108957069,6.720906400994068e-06,6.550128304906369e-06,6.43154268278452e-06,0.0031137514564188564,5.9120303204390885e-06,5.61481774560025e-06,5.539445474902461e-06,5.31557324894164e-06,5.204048985253255e-06,0.009513348744671987,4.907431869963688e-06,4.6828284050687984e-06,0.08332431729318932,3.3022133678558406e-06,3.250266016572991e-06,3.033665223880155e-06,2.9788568945948383e-06,2.923574389683969e-06,2.8838267591060744e-06,2.5751338336254347e-06
