,precision,recall,f1-score,support
Aheylite,0.6666666666666666,1.0,0.8,2.0
Annabergite,1.0,1.0,1.0,2.0
Berlinite,0.6666666666666666,1.0,0.8,2.0
Calcite,1.0,1.0,1.0,1.0
Chlorite-serpentine,1.0,1.0,1.0,3.0
Clinochlore,1.0,0.8333333333333334,0.9090909090909091,6.0
Crandallite,1.0,1.0,1.0,1.0
Fluorite,1.0,1.0,1.0,1.0
Illite,0.0,0.0,0.0,0.0
Metavariscite,0.2,1.0,0.33333333333333337,1.0
Muscovite,1.0,1.0,1.0,10.0
Planerite,1.0,1.0,1.0,3.0
Quartz,1.0,1.0,1.0,2.0
Strengite,1.0,1.0,1.0,1.0
Talc,1.0,1.0,1.0,1.0
Turquoise,1.0,1.0,1.0,2.0
Variscite,1.0,0.925,0.961038961038961,80.0
accuracy,0.940677966101695,0.940677966101695,0.940677966101695,0.940677966101695
macro avg,0.8549019607843137,0.9269607843137255,0.8707919531448943,118.0
weighted avg,0.9819209039548024,0.940677966101695,0.9565338616186073,118.0
