,precision,recall,f1-score,support
Aheylite,1.0,1.0,1.0,2.0
Annabergite,1.0,1.0,1.0,2.0
Berlinite,0.4,1.0,0.5714285714285715,2.0
Calcite,1.0,1.0,1.0,1.0
Chlorite-serpentine,1.0,1.0,1.0,3.0
Clinochlore,1.0,1.0,1.0,6.0
Crandallite,0.5,1.0,0.6666666666666666,1.0
Fluorite,1.0,1.0,1.0,1.0
Metavariscite,0.3333333333333333,1.0,0.5,1.0
Muscovite,0.9090909090909091,1.0,0.9523809523809523,10.0
Planerite,0.75,1.0,0.8571428571428571,3.0
Quartz,1.0,1.0,1.0,2.0
Strengite,1.0,1.0,1.0,1.0
Talc,0.5,1.0,0.6666666666666666,1.0
Turquoise,1.0,1.0,1.0,2.0
Variscite,1.0,0.8875,0.9403973509933775,80.0
accuracy,0.923728813559322,0.923728813559322,0.923728813559322,0.923728813559322
macro avg,0.8370265151515152,0.99296875,0.8846676915799432,118.0
weighted avg,0.9616461222393425,0.923728813559322,0.934773022465244,118.0
