,precision,recall,f1-score,support
Aheylite,1.0,0.9629629629629629,0.9811320754716981,27.0
Annabergite,1.0,1.0,1.0,20.0
Aragonite,1.0,1.0,1.0,16.0
Berlinite,1.0,0.9473684210526315,0.972972972972973,19.0
Calcite,0.9459459459459459,1.0,0.9722222222222222,35.0
Chlorite-serpentine,0.9655172413793104,1.0,0.9824561403508771,28.0
Clinochlore,0.9642857142857143,0.9642857142857143,0.9642857142857143,28.0
Crandallite,0.96,1.0,0.9795918367346939,24.0
Fluorite,1.0,1.0,1.0,19.0
Illite,1.0,1.0,1.0,26.0
Metavariscite,1.0,1.0,1.0,20.0
Muscovite,0.9743589743589743,1.0,0.9870129870129869,38.0
Planerite,0.9166666666666666,1.0,0.9565217391304348,22.0
Quartz,1.0,1.0,1.0,22.0
Strengite,1.0,1.0,1.0,32.0
Talc,1.0,0.9230769230769231,0.9600000000000001,26.0
Turquoise,1.0,1.0,1.0,24.0
Variscite,0.96,0.8571428571428571,0.9056603773584904,28.0
accuracy,0.9801762114537445,0.9801762114537445,0.9801762114537445,0.9801762114537445
macro avg,0.9825985857020341,0.9808242710289493,0.9812142258633383,454.0
weighted avg,0.9807376620243093,0.9801762114537445,0.9799389177243572,454.0
