,Model,Accuracy,Recall,Prec.,F1,TT (Sec)
catboost,CatBoost Classifier,0.9859,0.9859,0.9868,0.9858,114.446
et,Extra Trees Classifier,0.9831,0.9831,0.9841,0.983,0.297
lightgbm,Light Gradient Boosting Machine,0.9816,0.9816,0.9823,0.9814,2.849
rf,Random Forest Classifier,0.977,0.977,0.978,0.9768,0.665
xgboost,Extreme Gradient Boosting,0.9758,0.9758,0.9769,0.9756,5.113
dt,Decision Tree Classifier,0.9455,0.9455,0.948,0.9453,0.125
knn,K Neighbors Classifier,0.9096,0.9096,0.9133,0.9076,0.434
nb,Naive Bayes,0.7675,0.7675,0.7647,0.7248,0.037
lda,Linear Discriminant Analysis,0.7528,0.7528,0.7708,0.7449,0.052
ridge,Ridge Classifier,0.7075,0.7075,0.7277,0.6767,0.042
svm,SVM - Linear Kernel,0.5997,0.5997,0.6334,0.5534,0.209
qda,Quadratic Discriminant Analysis,0.5363,0.5363,0.6945,0.5319,0.049
ada,Ada Boost Classifier,0.1871,0.1871,0.1339,0.1238,0.482
dummy,Dummy Classifier,0.0579,0.0579,0.0034,0.0063,0.045
