,Model,Accuracy,Recall,Prec.,F1,TT (Sec)
et,Extra Trees Classifier,0.9816,0.9816,0.9828,0.9814,0.323
lightgbm,Light Gradient Boosting Machine,0.978,0.9779,0.979,0.9778,2.228
rf,Random Forest Classifier,0.9755,0.9755,0.9768,0.9754,0.611
xgboost,Extreme Gradient Boosting,0.9718,0.9718,0.9736,0.9717,65.635
dt,Decision Tree Classifier,0.9397,0.94,0.9427,0.9391,0.057
knn,K Neighbors Classifier,0.8983,0.8995,0.9043,0.897,0.39
lda,Linear Discriminant Analysis,0.7679,0.7707,0.7897,0.7628,0.016
nb,Naive Bayes,0.7669,0.7701,0.7839,0.7275,0.012
ridge,Ridge Classifier,0.69,0.6917,0.6949,0.6555,0.011
svm,SVM - Linear Kernel,0.5865,0.5904,0.6045,0.541,0.14
qda,Quadratic Discriminant Analysis,0.3032,0.2976,0.4239,0.2445,0.017
ada,Ada Boost Classifier,0.1887,0.1791,0.1316,0.1201,0.353
