,Model,Accuracy,Recall,Prec.,F1,TT (Sec)
lightgbm,Light Gradient Boosting Machine,0.9835,0.9835,0.9841,0.9833,3.051
et,Extra Trees Classifier,0.9804,0.9804,0.9814,0.9802,0.356
xgboost,Extreme Gradient Boosting,0.9773,0.9773,0.9785,0.9771,4.804
rf,Random Forest Classifier,0.9761,0.9761,0.9772,0.9758,0.708
dt,Decision Tree Classifier,0.9391,0.9391,0.9414,0.9385,0.108
knn,K Neighbors Classifier,0.9121,0.9121,0.9158,0.9103,0.054
lr,Logistic Regression,0.8564,0.8564,0.8607,0.8524,1.475
nb,Naive Bayes,0.7617,0.7617,0.7727,0.7202,0.045
lda,Linear Discriminant Analysis,0.7525,0.7525,0.7712,0.7471,0.053
ridge,Ridge Classifier,0.6925,0.6925,0.6787,0.6593,0.045
svm,SVM - Linear Kernel,0.597,0.597,0.6327,0.5561,0.193
qda,Quadratic Discriminant Analysis,0.5299,0.5299,0.6866,0.5293,0.048
ada,Ada Boost Classifier,0.1847,0.1847,0.1286,0.1194,0.497
