iter	Passed	Remaining
0	185	185378
1	291	145602
2	399	132620
3	512	127533
4	629	125177
5	737	122110
6	843	119637
7	954	118348
8	1082	119179
9	1230	121822
10	1369	123153
11	1485	122317
12	1593	121012
13	1707	120260
14	1814	119148
15	1921	118145
16	2026	117176
17	2133	116389
18	2239	115642
19	2344	114865
20	2458	114626
21	2565	114029
22	2682	113926
23	2792	113548
24	2898	113026
25	3004	112547
26	3114	112248
27	3222	111852
28	3325	111349
29	3431	110966
30	3535	110520
31	3646	110294
32	3755	110035
33	3861	109702
34	3972	109522
35	4075	109120
36	4183	108893
37	4290	108610
38	4395	108317
39	4500	108023
40	4613	107902
41	4722	107714
42	4827	107447
43	4932	107174
44	5037	106905
45	5147	106749
46	5254	106546
47	5361	106345
48	5470	106176
49	5579	106011
50	5691	105899
51	5796	105670
52	5902	105457
53	6009	105271
54	6124	105237
55	6240	105202
56	6352	105101
57	6462	104964
58	6571	104805
59	6687	104772
60	6792	104561
61	6898	104370
62	7003	104170
63	7118	104108
64	7223	103904
65	7328	103710
66	7438	103589
67	7574	103809
68	7685	103698
69	7791	103511
70	7894	103296
71	7999	103105
72	8106	102936
73	8214	102796
74	8319	102607
75	8424	102428
76	8532	102274
77	8643	102175
78	8749	101997
79	8854	101822
80	8959	101653
81	9064	101482
82	9170	101321
83	9276	101158
84	9379	100964
85	9485	100809
86	9592	100664
87	9702	100549
88	9806	100381
89	9911	100211
90	10016	100055
91	10125	99932
92	10230	99776
93	10335	99616
94	10442	99474
95	10544	99297
96	10657	99214
97	10762	99062
98	10865	98889
99	10970	98738
100	11076	98595
101	11185	98473
102	11290	98329
103	11395	98175
104	11502	98042
105	11605	97882
106	11716	97786
107	11820	97630
108	11923	97463
109	12026	97303
110	12137	97211
111	12244	97078
112	12350	96947
113	12458	96827
114	12562	96676
115	12677	96614
116	12790	96528
117	12896	96394
118	13001	96252
119	13107	96118
120	13218	96022
121	13327	95913
122	13433	95779
123	13537	95637
124	13650	95551
125	13759	95444
126	13864	95306
127	13971	95181
128	14077	95047
129	14184	94924
130	14289	94792
131	14394	94653
132	14500	94523
133	14610	94423
134	14723	94339
135	14823	94171
136	14926	94027
137	15030	93887
138	15138	93773
139	15244	93641
140	15351	93523
141	15459	93412
142	15566	93292
143	15675	93185
144	15780	93051
145	15883	92909
146	15989	92782
147	16095	92656
148	16211	92589
149	16316	92462
150	16421	92329
151	16527	92203
152	16639	92114
153	16744	91983
154	16849	91854
155	16959	91755
156	17063	91623
157	17172	91516
158	17278	91389
159	17382	91258
160	17483	91112
161	17591	90997
162	17700	90890
163	17804	90761
164	17908	90628
165	18015	90514
166	18124	90403
167	18233	90296
168	18335	90161
169	18439	90026
170	18544	89900
171	18662	89841
172	18768	89721
173	18870	89582
174	18975	89454
175	19077	89316
176	19183	89196
177	19287	89070
178	19391	88941
179	19495	88812
180	19602	88700
181	19710	88587
182	19815	88466
183	19918	88334
184	20022	88205
185	20129	88092
186	20232	87964
187	20339	87849
188	20444	87728
189	20552	87617
190	20663	87520
191	20768	87400
192	20871	87271
193	20976	87150
194	21080	87025
195	21186	86907
196	21292	86790
197	21394	86660
198	21501	86547
199	21608	86435
200	21714	86319
201	21818	86193
202	21921	86067
203	22027	85949
204	22135	85842
205	22243	85733
206	22347	85611
207	22452	85493
208	22554	85362
209	22691	85364
210	22832	85379
211	22937	85258
212	23044	85145
213	23153	85041
214	23259	84925
215	23364	84803
216	23470	84689
217	23574	84566
218	23685	84465
219	23789	84345
220	23893	84223
221	23997	84098
222	24105	83989
223	24212	83878
224	24319	83766
225	24425	83651
226	24531	83538
227	24641	83435
228	24750	83329
229	24854	83208
230	24957	83082
231	25062	82964
232	25170	82858
233	25273	82731
234	25379	82617
235	25484	82500
236	25590	82386
237	25708	82311
238	25818	82209
239	25921	82084
240	26028	81972
241	26137	81867
242	26245	81759
243	26350	81643
244	26456	81530
245	26559	81407
246	26669	81304
247	26776	81192
248	26881	81074
249	26983	80950
250	27088	80834
251	27198	80730
252	27302	80612
253	27407	80494
254	27511	80377
255	27620	80272
256	27736	80187
257	27840	80066
258	27944	79948
259	28049	79833
260	28156	79724
261	28261	79606
262	28366	79489
263	28470	79373
264	28573	79251
265	28685	79155
266	28793	79047
267	28922	78996
268	29042	78922
269	29150	78814
270	29257	78703
271	29362	78587
272	29467	78471
273	29570	78351
274	29682	78252
275	29785	78131
276	29889	78013
277	29993	77895
278	30098	77780
279	30207	77677
280	30311	77558
281	30416	77444
282	30522	77330
283	30636	77238
284	30737	77113
285	30841	76996
286	30943	76874
287	31048	76757
288	31157	76655
289	31265	76545
290	31368	76427
291	31476	76320
292	31583	76209
293	31693	76108
294	31798	75992
295	31902	75876
296	32007	75762
297	32114	75653
298	32223	75548
299	32332	75442
300	32437	75327
301	32542	75213
302	32650	75106
303	32767	75019
304	32871	74903
305	32974	74785
306	33080	74672
307	33184	74558
308	33289	74444
309	33394	74330
310	33498	74214
311	33605	74104
312	33715	74002
313	33822	73891
314	33927	73778
315	34030	73662
316	34140	73557
317	34242	73437
318	34357	73346
319	34463	73234
320	34566	73118
321	34681	73025
322	34786	72912
323	34893	72802
324	34998	72688
325	35105	72581
326	35217	72481
327	35325	72374
328	35432	72264
329	35537	72151
330	35647	72049
331	35753	71936
332	35855	71818
333	35960	71706
334	36065	71593
335	36173	71485
336	36280	71376
337	36382	71258
338	36487	71145
339	36591	71031
340	36700	70925
341	36804	70810
342	36909	70698
343	37013	70584
344	37117	70470
345	37225	70363
346	37332	70254
347	37440	70147
348	37543	70031
349	37654	69929
350	37756	69812
351	37859	69695
352	37962	69579
353	38068	69469
354	38174	69359
355	38279	69246
356	38386	69138
357	38490	69024
358	38595	68913
359	38705	68810
360	38810	68697
361	38914	68583
362	39020	68474
363	39130	68370
364	39234	68257
365	39340	68147
366	39443	68032
367	39548	67919
368	39658	67817
369	39764	67706
370	39869	67595
371	39971	67478
372	40073	67361
373	40185	67262
374	40305	67175
375	40408	67060
376	40512	66947
377	40619	66839
378	40729	66736
379	40835	66626
380	40937	66510
381	41038	66392
382	41146	66285
383	41253	66178
384	41360	66069
385	41467	65961
386	41571	65848
387	41678	65740
388	41784	65631
389	41890	65520
390	41995	65409
391	42099	65297
392	42204	65185
393	42309	65074
394	42414	64963
395	42519	64852
396	42623	64740
397	42742	64649
398	42844	64534
399	42951	64427
400	43057	64317
401	43164	64210
402	43270	64100
403	43375	63989
404	43479	63877
405	43586	63769
406	43699	63670
407	43805	63560
408	43910	63450
409	44016	63340
410	44124	63233
411	44237	63135
412	44343	63025
413	44449	62915
414	44559	62812
415	44674	62715
416	44777	62602
417	44880	62489
418	44985	62378
419	45091	62268
420	45198	62161
421	45300	62046
422	45399	61928
423	45504	61817
424	45607	61704
425	45715	61597
426	45817	61483
427	45921	61372
428	46026	61261
429	46133	61154
430	46244	61051
431	46348	60940
432	46451	60827
433	46557	60717
434	46670	60617
435	46777	60510
436	46880	60397
437	46984	60285
438	47089	60175
439	47195	60067
440	47300	59957
441	47406	59847
442	47510	59736
443	47614	59625
444	47726	59524
445	47830	59412
446	47932	59299
447	48037	59188
448	48146	59084
449	48250	58972
450	48357	58865
451	48463	58756
452	48567	58645
453	48678	58542
454	48781	58430
455	48886	58320
456	48991	58210
457	49095	58099
458	49202	57992
459	49307	57882
460	49415	57775
461	49520	57666
462	49624	57555
463	49736	57454
464	49841	57344
465	49943	57231
466	50047	57121
467	50152	57010
468	50257	56901
469	50364	56793
470	50468	56682
471	50572	56572
472	50684	56471
473	50787	56358
474	50892	56249
475	50998	56141
476	51106	56035
477	51215	55929
478	51322	55823
479	51430	55716
480	51539	55611
481	51653	55511
482	51761	55404
483	51865	55294
484	51971	55186
485	52076	55076
486	52184	54970
487	52288	54859
488	52393	54751
489	52498	54640
490	52602	54530
491	52719	54433
492	52830	54330
493	52935	54221
494	53041	54112
495	53149	54006
496	53258	53901
497	53362	53791
498	53467	53682
499	53574	53574
500	53686	53472
501	53791	53362
502	53895	53252
503	53999	53142
504	54107	53036
505	54213	52928
506	54317	52817
507	54424	52710
508	54529	52600
509	54637	52494
510	54745	52388
511	54843	52272
512	54947	52162
513	55052	52053
514	55158	51945
515	55261	51834
516	55369	51728
517	55473	51617
518	55581	51511
519	55692	51408
520	55797	51299
521	55901	51189
522	56008	51082
523	56111	50971
524	56218	50864
525	56323	50755
526	56428	50646
527	56533	50537
528	56636	50427
529	56745	50321
530	56850	50212
531	56953	50102
532	57058	49993
533	57166	49887
534	57268	49775
535	57372	49665
536	57473	49553
537	57577	49444
538	57686	49338
539	57792	49230
540	57899	49123
541	58004	49015
542	58110	48906
543	58214	48797
544	58317	48687
545	58420	48576
546	58523	48466
547	58629	48358
548	58738	48253
549	58844	48145
550	58945	48033
551	59047	47922
552	59156	47817
553	59261	47709
554	59370	47603
555	59475	47495
556	59580	47386
557	59692	47283
558	59796	47174
559	59903	47067
560	60010	46959
561	60118	46854
562	60224	46746
563	60331	46639
564	60431	46526
565	60531	46414
566	60638	46307
567	60747	46202
568	60851	46093
569	60954	45983
570	61064	45878
571	61170	45770
572	61276	45663
573	61380	45554
574	61487	45447
575	61591	45338
576	61702	45234
577	61810	45128
578	61916	45020
579	62022	44912
580	62128	44805
581	62238	44700
582	62339	44588
583	62444	44481
584	62547	44371
585	62652	44262
586	62767	44162
587	62873	44054
588	62976	43944
589	63080	43835
590	63186	43728
591	63290	43619
592	63394	43510
593	63500	43402
594	63603	43293
595	63719	43192
596	63819	43080
597	63921	42970
598	64025	42861
599	64131	42754
600	64237	42647
601	64340	42537
602	64445	42429
603	64547	42318
604	64651	42210
605	64762	42106
606	64868	41998
607	64971	41889
608	65076	41781
609	65187	41677
610	65294	41570
611	65404	41465
612	65511	41358
613	65619	41252
614	65726	41146
615	65832	41038
616	65938	40930
617	66040	40820
618	66145	40712
619	66253	40606
620	66355	40497
621	66460	40389
622	66565	40281
623	66673	40175
624	66782	40069
625	66886	39960
626	66990	39852
627	67092	39742
628	67200	39636
629	67306	39529
630	67411	39421
631	67514	39311
632	67617	39203
