id_inv,Mg,Al,Si,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Pd,Ag,Cd,In,Sn,Sb,Te,Ba,Ta,W,Au,Hg,Tl,Pb,Th,y_true,xrd2,xrd3
MRO-S-25,0.0,3.269513517806815,3.1107168337606677,0.0,0.2371152483925703,2.24035219988612,0.00015832444138680297,90.95846484029212,0.00011975703773929178,0.01880202527811264,9.326207328687958e-05,8.951940331608438e-05,8.018836506873274e-05,0.15707206977022786,6.968510357358402e-05,0.0030912712066387712,0.004195450989559259,5.661965469986069e-06,4.978573442831352e-06,4.588016389309272e-06,4.311598624865281e-06,3.880804578680528e-06,3.790705170155791e-06,3.3132176501445277e-06,3.1524670158191132e-06,3.0619275228940513e-06,2.908297475486962e-06,2.8039452185528426e-06,2.629405824865864e-06,2.3692588827322774e-06,2.1370296105531647e-06,2.07996339278209e-06,1.9153456219074695e-06,1.8357856210191602e-06,1.7174434221259553e-06,1.6324796270394537e-06,1.4864684648786324e-06,1.2782628908744126e-06,7.39162412150918e-07,7.161055279390908e-07,6.238165307707271e-07,6.01503961854886e-07,5.794023593145306e-07,5.637383068771876e-07,4.4950169667860516e-07,Fluorite,,
GTMT-26,0.0,2.1072435097462776,1.79552830203995,0.6021594260958739,0.4743822488292987,1.7337553221488229,0.0001593244059620338,93.03012580840628,0.00012051341366157472,0.031038578613277648,9.385110912166657e-05,9.008480074510919e-05,8.069482840258092e-05,0.21265247575140037,7.01252291434866e-05,7.069989612802231e-05,0.012062711783462658,5.697725993418671e-06,5.010017716592304e-06,4.616993935793577e-06,4.338830338741637e-06,3.905315431635905e-06,3.814646962415392e-06,3.3341436692174756e-06,3.172377746675262e-06,3.0812664135163653e-06,2.926666050952927e-06,2.8216547134664593e-06,2.646012942855611e-06,2.3842229333332525e-06,2.150526919547622e-06,2.093100276085393e-06,1.9274427924672045e-06,1.847380296943217e-06,1.7282906581373136e-06,1.6427902384809135e-06,1.4958568814367866e-06,1.2863362975923542e-06,7.438309031370146e-07,7.206283934789514e-07,6.277565063471457e-07,6.05303013021259e-07,5.830618185177007e-07,0.0003006683815808541,4.523407136316897e-07,Fluorite,,
MRO_1581,10.536120590391382,9.313109607644037,44.244869517837586,1.5975651858007571,1.9972865693822186,6.0366222612185165,0.0001650298868010361,7.068464555706874,0.0001435288291435193,1.7442760225846832,0.00012666048671326036,0.18849723446013456,0.13095411997658823,16.693237864158753,0.00010948600129209289,0.2832991387551597,0.009950731350303672,0.03197549217778524,9.254246825505086e-06,8.883847603121177e-06,8.612074576422027e-06,8.170516410007356e-06,8.07511327861798e-06,7.54942026740641e-06,7.3640019563420565e-06,7.257483762790936e-06,0.004243842748057689,6.945018098020483e-06,0.0054475653496549896,6.3840293995714955e-06,6.063088248587588e-06,0.02793401396223794,5.740004015787662e-06,5.619524920873464e-06,5.4353790869740636e-06,5.299226769174532e-06,5.056691625506984e-06,0.05903702172464361,3.565812939567235e-06,3.5097576774080233e-06,0.02643568655590474,3.216680050923231e-06,3.157030293642681e-06,3.114062989453142e-06,2.780700962828353e-06,Clinochlore,,
MRO_1836,0.0,28.89790379613777,40.32318544217303,1.2083065089660272,0.4664972636523459,2.1637519913488257,21.502309666457172,1.166193631355361,0.00013469071656176384,2.0713847022935066,0.00011886108050398676,0.42411699122567437,0.00011021553684215102,1.6257317095269619,0.00010274415290302705,0.00010316428131181049,9.528563816816312e-06,0.0028709950451828834,8.684395627029952e-06,8.33680457529133e-06,8.081766587963607e-06,7.667398365265848e-06,7.57786989766982e-06,0.020403497156290293,0.002695113277314878,6.8105877702675785e-06,0.0215056000265615,6.517362886179679e-06,6.311258247898784e-06,5.990918336830013e-06,5.689739863779453e-06,5.613257776058304e-06,5.386550274027305e-06,5.273489952128631e-06,5.1006833148294955e-06,4.972914884226424e-06,4.74531439109255e-06,0.10244250921179773,3.346239935360096e-06,3.2936364028688498e-06,3.074082938028174e-06,3.01860569471763e-06,2.962629006279525e-06,2.9223075111168408e-06,2.609473005961943e-06,Muscovite,,
MRO_1890,0.0,29.416237513287747,35.39147937303819,1.1512130502388958,0.8744221982090347,2.691249142573918,23.828666686169882,0.8991878737474477,0.00013416541266156985,0.4314357401991306,0.00011839751337208732,0.21343540411203946,0.0001097856879791924,4.8591457252019605,0.00010234344299799555,0.00010276193287446328,9.491401703019658e-06,9.225154674519538e-06,8.650525832509894e-06,8.304290411952186e-06,8.050247091910083e-06,7.637494936370152e-06,7.5483156365149086e-06,0.046505085378929834,0.013973698283711219,6.784025966977339e-06,0.002115726081277163,6.491944681937519e-06,6.2866438672095814e-06,5.967553305828507e-06,5.667549451419726e-06,0.01246874539856118,5.3655423238153844e-06,5.2529229456548275e-06,5.080790267206531e-06,4.953520143069048e-06,4.726807308934853e-06,0.16489934481662558,0.0028665428397528325,3.2807909737820238e-06,3.0620937839269296e-06,3.0068329060276542e-06,2.9510745308742893e-06,2.9109102925679885e-06,2.599295865454608e-06,Muscovite,,
MRO_1985A,0.0,19.010382028802994,22.319598655442608,8.575087907061265,2.7224080327576416,14.522683255471355,0.00015703077658481033,11.104356749344989,0.00013657188973224149,0.1639207623022689,0.00012052116726694898,0.1061522190806737,0.00011175487463891868,20.988721164086442,0.00010417914076854929,0.31423383139301786,9.661645584164094e-06,0.13344075251513082,8.805687223603282e-06,8.453241502014203e-06,8.19464149770817e-06,7.774485954227393e-06,7.683707077133705e-06,7.183494761680296e-06,0.010370454426285224,6.905708616868281e-06,6.730234700202705e-06,6.608388374177033e-06,6.399405152087676e-06,6.074591177315637e-06,5.769206260959327e-06,5.691655977484856e-06,5.461782139411899e-06,5.347142747703288e-06,5.171922586903307e-06,5.042369664021777e-06,4.811590362784416e-06,4.461910830605317e-06,3.392975574972598e-06,3.339637349278131e-06,0.027866136146642358,3.060765393545498e-06,3.004006900339033e-06,2.963122250440596e-06,2.6459185066854487e-06,Clinochlore,,
MRO_1999,0.0,23.779680201774315,24.164476810891955,6.5351057607944725,2.0986064294637905,10.985693270407467,0.9149399263844927,5.413211035856786,0.0001419689934429658,0.16546535568102455,0.00012528397197260663,0.10187782450937913,0.30959637968453574,25.244867498611885,0.07450774060301066,0.15560545958507868,1.0043458439915223e-05,0.05593468683742652,9.1536739673114e-06,8.787300151767214e-06,8.51848068688573e-06,8.08172126505746e-06,7.987354951227132e-06,7.467375041218382e-06,7.283971810349838e-06,7.178611230095299e-06,6.996202863532105e-06,6.8695413646357894e-06,6.6522994582327775e-06,6.314649352160411e-06,5.997196109968546e-06,5.916581162722283e-06,5.677623076442068e-06,5.5584533184362725e-06,5.3763087357665975e-06,5.241636087572707e-06,5.001736755664991e-06,4.638238444933523e-06,3.5270605693443097e-06,3.4716145018649523e-06,3.2401970351975063e-06,3.181721970301873e-06,3.1227204717822332e-06,3.0802201255929186e-06,2.75048099475458e-06,Clinochlore,,
MRO(N)2,0.0,29.34835598670038,34.8802532203273,1.0717414292758676,0.5933213954525337,2.478650738269846,18.73875329537619,9.10453000492188,0.0001344555651807457,0.501694269175398,0.00011865356548035849,0.21843067588937795,0.00011002311574320913,2.76640873542645,0.00010256477580812826,0.00010298417073075876,9.511928260945494e-06,0.004345199553944935,8.66923387218052e-06,8.32224966639188e-06,8.067656940151655e-06,7.654012147117832e-06,7.564639983856157e-06,0.03684605249844293,0.0657425335067736,6.798697425033656e-06,0.002849155344055492,6.505984471078749e-06,0.0032761246247698765,5.980459021173863e-06,5.679806364123683e-06,5.603457803560233e-06,5.3771461015038025e-06,5.264283167305716e-06,0.009368871936794521,4.964232861941872e-06,4.737029727821649e-06,0.17474434471135378,3.340397862780008e-06,3.287886168788307e-06,3.068716013961732e-06,3.0133356262527655e-06,2.957456665378424e-06,2.9172055659751077e-06,2.6049172266421406e-06,Muscovite,,
MRO(N)3,0.0,28.147934678674197,36.79815779656871,1.29302512446859,0.6491606982036305,2.5899018936530593,23.79519505147309,1.5252159502673315,0.00013415064818131757,2.4819943815807406,0.00011838448409939013,0.4260119392792604,0.00010977360641070172,2.0905925670781507,0.00010233218042507815,0.00010275062424805568,9.490357204216051e-06,0.003966379974405302,8.649573869442124e-06,8.303376550999769e-06,8.049361187623305e-06,7.63665445415549e-06,7.547484968200756e-06,0.02758951039097127,0.0037855607326467955,6.783279406329304e-06,0.030872979650737285,6.491230263913128e-06,0.003520133143459489,5.966896595420136e-06,5.6669257554887535e-06,5.590750337434998e-06,5.364951862815703e-06,5.252344878062299e-06,0.009144416056089661,4.952975023810062e-06,4.726287138707784e-06,0.12324453196106877,3.332822541581173e-06,3.2804299330891706e-06,3.061756810169636e-06,3.006502013555577e-06,2.95074977443543e-06,2.910589956076801e-06,2.5990098211477035e-06,Muscovite,,
MRO(N)5,0.0,34.303707673826274,36.72248712571312,1.0942009908930885,0.6545595518168064,2.7649781053665103,20.582144244572778,0.6428814384639038,0.0001329168907660306,0.1897429087485762,0.0001172957250282067,0.07584591168734821,0.00010876403990656567,2.7902824099267924,0.00010139105126816734,0.0001018056467447039,9.403076235147618e-06,9.139306858958253e-06,8.570025421147837e-06,8.227012012098177e-06,7.975332778605625e-06,7.5664216286825605e-06,7.478072217144206e-06,0.04306608035548198,0.03962151331852079,6.7208949051660235e-06,6.5501171011870844e-06,6.431531681900959e-06,0.0031140706818776863,5.912020208159598e-06,5.614808141690383e-06,5.539333294138227e-06,5.315611444165916e-06,5.204040083946095e-06,0.00951333247248863,4.907423476007643e-06,4.682820395287544e-06,0.08315885863881486,3.3021712209930404e-06,3.2502604571295177e-06,3.0335984283834623e-06,2.978851799385266e-06,2.9236123027629444e-06,2.883821826441557e-06,2.5751072334023898e-06,Muscovite,,
