id_inv,Mg,Al,Si,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Pd,Ag,Cd,In,Sn,Sb,Te,Ba,Ta,W,Au,Hg,Tl,Pb,Th,xrd1,xrd2,xrd3,Predicted Major Class,prediction_label,top_3_probs
MRO-S-25,0.0,3.2695136,3.1107168,0.0,0.23711525,2.2403522,0.00015832444,90.958466,0.00011975704,0.018802024,9.3262075e-05,8.95194e-05,8.0188365e-05,0.15707207,6.9685106e-05,0.0030912713,0.004195451,5.6619656e-06,4.9785735e-06,4.5880165e-06,4.311599e-06,3.880805e-06,3.7907053e-06,3.3132176e-06,3.1524671e-06,3.0619276e-06,2.9082976e-06,2.803945e-06,2.6294058e-06,2.369259e-06,2.1370297e-06,2.0799635e-06,1.9153456e-06,1.8357856e-06,1.7174434e-06,1.6324797e-06,1.4864685e-06,1.2782629e-06,7.3916243e-07,7.1610555e-07,6.238165e-07,6.01504e-07,5.7940235e-07,5.637383e-07,4.495017e-07,Fluorite,,,Halides,Fluorite,"{'prediction_score_Fluorite': 0.9567, 'prediction_score_Calcite': 0.0079, 'prediction_score_Variscite': 0.0078}"
GTMT-26,0.0,2.1072435,1.7955283,0.60215944,0.47438225,1.7337554,0.00015932441,93.03013,0.00012051341,0.031038579,9.385111e-05,9.00848e-05,8.069483e-05,0.21265247,7.012523e-05,7.06999e-05,0.012062712,5.697726e-06,5.0100175e-06,4.616994e-06,4.3388304e-06,3.905315e-06,3.814647e-06,3.3341437e-06,3.1723778e-06,3.0812664e-06,2.926666e-06,2.8216548e-06,2.646013e-06,2.3842229e-06,2.1505268e-06,2.0931002e-06,1.9274428e-06,1.8473803e-06,1.7282906e-06,1.6427903e-06,1.4958568e-06,1.2863363e-06,7.438309e-07,7.206284e-07,6.277565e-07,6.05303e-07,5.830618e-07,0.00030066838,4.5234071e-07,Fluorite,,,Halides,Fluorite,"{'prediction_score_Fluorite': 0.939, 'prediction_score_Calcite': 0.0227, 'prediction_score_Variscite': 0.0085}"
MRO_1581,10.53612,9.313109,44.24487,1.5975652,1.9972866,6.036622,0.00016502988,7.0684648,0.00014352883,1.744276,0.00012666048,0.18849723,0.13095412,16.693237,0.000109486,0.28329915,0.009950731,0.031975493,9.254247e-06,8.883848e-06,8.612074e-06,8.170517e-06,8.075113e-06,7.5494204e-06,7.364002e-06,7.257484e-06,0.004243843,6.945018e-06,0.0054475656,6.3840293e-06,6.063088e-06,0.027934015,5.740004e-06,5.619525e-06,5.435379e-06,5.299227e-06,5.0566914e-06,0.059037022,3.565813e-06,3.5097578e-06,0.026435686,3.21668e-06,3.1570303e-06,3.114063e-06,2.780701e-06,Clinochlore,,,Silicates,Clinochlore,"{'prediction_score_Clinochlore': 0.9637, 'prediction_score_Variscite': 0.0082, 'prediction_score_Talc': 0.0027}"
MRO_1836,0.0,28.897903,40.323185,1.2083066,0.46649727,2.163752,21.50231,1.1661936,0.00013469072,2.0713847,0.000118861084,0.424117,0.00011021554,1.6257317,0.000102744154,0.00010316428,9.528564e-06,0.002870995,8.684396e-06,8.336805e-06,8.081766e-06,7.667399e-06,7.57787e-06,0.020403497,0.0026951132,6.810588e-06,0.0215056,6.517363e-06,6.3112584e-06,5.9909185e-06,5.6897397e-06,5.6132576e-06,5.38655e-06,5.27349e-06,5.100683e-06,4.9729147e-06,4.7453145e-06,0.10244251,3.34624e-06,3.2936364e-06,3.074083e-06,3.0186056e-06,2.962629e-06,2.9223074e-06,2.609473e-06,Muscovite,,,Silicates,Muscovite,"{'prediction_score_Muscovite': 0.5687, 'prediction_score_Illite': 0.3075, 'prediction_score_Variscite': 0.0585}"
MRO_1890,0.0,29.416237,35.39148,1.151213,0.8744222,2.6912491,23.828667,0.89918786,0.00013416541,0.43143573,0.00011839751,0.21343541,0.00010978569,4.8591456,0.000102343445,0.00010276194,9.491402e-06,9.225155e-06,8.650526e-06,8.3042905e-06,8.050247e-06,7.6374945e-06,7.548316e-06,0.046505086,0.013973698,6.784026e-06,0.002115726,6.4919445e-06,6.286644e-06,5.967553e-06,5.6675494e-06,0.012468745,5.365542e-06,5.252923e-06,5.0807903e-06,4.95352e-06,4.726807e-06,0.16489935,0.002866543,3.280791e-06,3.0620938e-06,3.006833e-06,2.9510745e-06,2.9109103e-06,2.5992958e-06,Muscovite,,,Silicates,Muscovite,"{'prediction_score_Muscovite': 0.9622, 'prediction_score_Variscite': 0.01, 'prediction_score_Talc': 0.0026}"
MRO_1985A,0.0,19.010382,22.3196,8.575088,2.722408,14.522683,0.00015703078,11.104357,0.00013657189,0.16392076,0.00012052117,0.10615222,0.000111754875,20.988722,0.00010417914,0.31423384,9.661646e-06,0.13344075,8.805687e-06,8.453241e-06,8.194642e-06,7.774486e-06,7.683707e-06,7.1834947e-06,0.010370455,6.9057087e-06,6.730235e-06,6.6083885e-06,6.3994053e-06,6.074591e-06,5.7692064e-06,5.691656e-06,5.461782e-06,5.3471426e-06,5.1719226e-06,5.0423696e-06,4.8115903e-06,4.461911e-06,3.3929755e-06,3.3396373e-06,0.027866136,3.0607655e-06,3.0040069e-06,2.9631221e-06,2.6459186e-06,Clinochlore,,,Silicates,Clinochlore,"{'prediction_score_Clinochlore': 0.5361, 'prediction_score_Variscite': 0.3503, 'prediction_score_Chlorite-serpentine': 0.0495}"
MRO_1999,0.0,23.77968,24.164476,6.5351057,2.0986063,10.985693,0.91493994,5.413211,0.000141969,0.16546535,0.00012528397,0.10187782,0.3095964,25.244867,0.07450774,0.15560547,1.0043458e-05,0.055934686,9.153674e-06,8.7873e-06,8.518481e-06,8.081722e-06,7.987355e-06,7.467375e-06,7.2839716e-06,7.178611e-06,6.996203e-06,6.8695413e-06,6.6522994e-06,6.3146495e-06,5.9971962e-06,5.9165814e-06,5.677623e-06,5.5584533e-06,5.3763088e-06,5.2416362e-06,5.0017366e-06,4.6382384e-06,3.5270605e-06,3.4716145e-06,3.240197e-06,3.181722e-06,3.1227205e-06,3.08022e-06,2.750481e-06,Clinochlore,,,Silicates,Chlorite-serpentine,"{'prediction_score_Chlorite-serpentine': 0.9614, 'prediction_score_Variscite': 0.009, 'prediction_score_Clinochlore': 0.0045}"
MRO(N)2,0.0,29.348356,34.880253,1.0717415,0.5933214,2.4786508,18.738752,9.10453,0.00013445556,0.50169426,0.00011865357,0.21843068,0.00011002312,2.7664087,0.00010256477,0.00010298417,9.5119285e-06,0.0043451996,8.6692335e-06,8.322249e-06,8.067657e-06,7.654012e-06,7.56464e-06,0.036846053,0.06574253,6.7986975e-06,0.0028491553,6.5059844e-06,0.0032761246,5.980459e-06,5.6798062e-06,5.603458e-06,5.377146e-06,5.264283e-06,0.009368872,4.964233e-06,4.73703e-06,0.17474434,3.3403978e-06,3.287886e-06,3.068716e-06,3.0133356e-06,2.9574567e-06,2.9172056e-06,2.6049172e-06,Muscovite,,,Silicates,Muscovite,"{'prediction_score_Muscovite': 0.9644, 'prediction_score_Variscite': 0.0079, 'prediction_score_Talc': 0.0026}"
MRO(N)3,0.0,28.147934,36.798157,1.2930251,0.6491607,2.589902,23.795195,1.525216,0.00013415064,2.4819944,0.00011838449,0.42601195,0.00010977361,2.0905926,0.00010233218,0.00010275062,9.490357e-06,0.00396638,8.649574e-06,8.3033765e-06,8.049361e-06,7.636654e-06,7.547485e-06,0.027589511,0.0037855608,6.7832793e-06,0.03087298,6.49123e-06,0.0035201332,5.9668964e-06,5.666926e-06,5.5907503e-06,5.364952e-06,5.252345e-06,0.009144416,4.952975e-06,4.726287e-06,0.12324453,3.3328226e-06,3.2804298e-06,3.0617568e-06,3.006502e-06,2.9507498e-06,2.91059e-06,2.5990098e-06,Muscovite,,,Silicates,Muscovite,"{'prediction_score_Muscovite': 0.9643, 'prediction_score_Variscite': 0.0081, 'prediction_score_Talc': 0.0026}"
MRO(N)5,0.0,34.303707,36.72249,1.094201,0.65455955,2.7649782,20.582144,0.64288145,0.00013291689,0.18974291,0.00011729573,0.07584591,0.00010876404,2.7902825,0.00010139105,0.00010180565,9.403077e-06,9.139307e-06,8.570026e-06,8.227012e-06,7.975333e-06,7.5664216e-06,7.4780723e-06,0.04306608,0.039621513,6.720895e-06,6.550117e-06,6.431532e-06,0.0031140707,5.9120202e-06,5.6148083e-06,5.5393334e-06,5.3156114e-06,5.20404e-06,0.0095133325,4.9074233e-06,4.6828204e-06,0.08315886,3.3021713e-06,3.2502605e-06,3.0335984e-06,2.9788519e-06,2.9236123e-06,2.883822e-06,2.5751071e-06,Muscovite,,,Silicates,Muscovite,"{'prediction_score_Muscovite': 0.966, 'prediction_score_Variscite': 0.0066, 'prediction_score_Talc': 0.0026}"
