,id_inv,site,id_yac,xrd1,xrd2,xrd3,Mg,Al,Si,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Pd,Ag,Cd,In,Sn,Sb,Te,Ba,Ta,W,Au,Hg,Tl,Pb,Th
0,MP-799,Can Figueres,CAT01034,Pectolite,Lopezite,,0.534567451957552,39.31414531785961,11.8276736566289,26.6874697483542,1.1011489247435,1.31055732721103,0.8924041533906959,9.142786706393133,0.005345674519575521,0.171760240063241,0.005345674519575521,0.18402872124856096,0.005345674519575521,1.77844546332158,0.005345674519575521,0.005345674519575521,6.586235092077018,0.10972614263185,0.0005345674519575519,0.0005345674519575519,0.0433093675206527,0.00439995496793011,0.0005345674519575519,0.0021265612119807198,0.17003418039325502,0.0005345674519575519,0.00345736644583614,0.0005345674519575519,0.0005345674519575519,0.0005345674519575519,0.0005345674519575519,0.0005345674519575519,0.007561269002869041,0.0005345674519575519,0.0005345674519575519,0.0005345674519575519,0.0005345674519575519,0.0910473509159481,0.0005345674519575519,0.00022984947558477202,0.0005345674519575519,0.0005345674519575519,0.0005345674519575519,1E-05,0.0005345674519575519
1,MP-807,Can Figueres,CAT01034,Petalite,,,0.520289182265057,50.391806389936704,6.222906861835692,26.8519879641515,0.662451791018703,2.3968526475516603,0.00520289182265057,5.36724286430623,0.00520289182265057,0.0833688768456972,0.00520289182265057,0.12417856665723,0.00520289182265057,0.661017413944056,0.00520289182265057,0.00520289182265057,6.29388942339363,0.28537121560148304,0.0005202891822650573,0.0005202891822650573,0.0005202891822650573,0.0005202891822650573,0.0005202891822650573,0.0005202891822650573,0.008847647587022759,0.0005202891822650573,0.0005202891822650573,0.0005202891822650573,0.00390420230568881,0.0005202891822650573,0.0005202891822650573,0.0005202891822650573,0.0005202891822650573,0.0005202891822650573,0.0103435470486525,0.0005202891822650573,0.0005202891822650573,0.0725517937841392,0.0005202891822650573,0.000325898821063767,0.0005202891822650573,0.0005202891822650573,0.0005202891822650573,1E-05,0.0005202891822650573
2,MP-349,Can Sadurni,CAT01005,Sulphur,,,0.40238760929227,5.57887409236325,4.18692295045327,6.53337484952461,32.651131318448805,49.7150175051833,0.0040238760929227,0.18684648457830105,0.0040238760929227,0.0040238760929227,0.0040238760929227,0.14208470856615998,0.0040238760929227,0.344636034603801,0.0040238760929227,0.0040238760929227,0.00040238760929227,0.0302190755831301,0.00040238760929227,0.00040238760929227,0.00040238760929227,0.121015381857788,0.00040238760929227,0.00040238760929227,0.00040238760929227,0.00040238760929227,0.00040238760929227,0.00040238760929227,0.00040238760929227,0.00040238760929227,0.00040238760929227,0.0273431090767807,0.00040238760929227,0.00040238760929227,0.00040238760929227,0.00040238760929227,0.00040238760929227,0.00040238760929227,0.00040238760929227,0.00040238760929227,0.0419200575858119,0.00040238760929227,0.00040238760929227,1E-05,0.00040238760929227
3,MP-788,Can Sadurni,CAT01005,Hydroxylapatite,,,0.548530505863537,8.70224476836208,5.5065939406503706,23.8384267010347,0.736050603937909,2.31264793812029,0.00548530505863537,53.597718034884004,0.00548530505863537,0.0870919807918374,0.00548530505863537,0.00548530505863537,0.28296178485151696,0.739526578681452,0.00548530505863537,0.00548530505863537,3.49182576766308,0.0913658184284784,0.000548530505863537,0.000548530505863537,0.000548530505863537,0.000548530505863537,0.000548530505863537,0.000548530505863537,0.0178419532265588,0.000548530505863537,0.000548530505863537,0.000548530505863537,0.000548530505863537,0.000548530505863537,0.000548530505863537,0.000548530505863537,0.000548530505863537,0.000548530505863537,0.000548530505863537,0.000548530505863537,0.000548530505863537,0.000548530505863537,0.000548530505863537,0.000548530505863537,0.000548530505863537,0.000548530505863537,0.000548530505863537,1E-05,0.000548530505863537
4,MP-790,Can Sadurni,CAT01005,Quartz,,,0.650851158700514,4.771027006129071,91.8632900694471,0.9302376443362741,0.18534844288632799,0.5840218718833101,0.00650851158700514,0.559617020031431,0.00650851158700514,0.062274600598499,0.0284911877017421,0.00650851158700514,0.00650851158700514,0.284255703477581,0.0027609792421076198,0.00650851158700514,0.0006508511587005139,0.0006508511587005139,0.0006508511587005139,0.0006508511587005139,0.0006508511587005139,0.0006508511587005139,0.0006508511587005139,0.000913817323958226,0.0006508511587005139,0.0006508511587005139,0.0014269296647823199,0.0006508511587005139,0.0006508511587005139,0.0006508511587005139,0.0006508511587005139,0.0006508511587005139,0.0006508511587005139,0.0006508511587005139,0.0006508511587005139,0.0006508511587005139,0.0006508511587005139,0.0260188805160258,0.0006508511587005139,0.0006508511587005139,0.0006508511587005139,0.0006508511587005139,0.0006508511587005139,1E-05,0.0006508511587005139
5,MP-792,Can Sadurni,CAT01005,Hematite,,,0.7315348154721509,19.8597793966906,25.031331944765395,0.822604688541843,0.301649727403052,2.50413962926786,1.81489787459202,1.83987996905017,0.0073153481547215205,0.252622276302143,0.0073153481547215205,0.0785053517642627,0.145007356301499,46.4868139036845,0.0073153481547215205,0.0073153481547215205,0.000731534815472151,0.0128673147414037,0.000731534815472151,0.000731534815472151,0.0436448656624292,0.000731534815472151,0.000731534815472151,0.00530668303450103,0.000731534815472151,0.000731534815472151,0.00481146287471818,0.000731534815472151,0.0046507163880981,0.000731534815472151,0.000731534815472151,0.000731534815472151,0.000731534815472151,0.000731534815472151,0.0138653300885548,0.000731534815472151,0.000731534815472151,0.000731534815472151,0.000731534815472151,0.000731534815472151,0.000731534815472151,0.000731534815472151,0.000731534815472151,1E-05,0.000731534815472151
6,MP-793,Can Sadurni,CAT01005,Fe oxide,,,0.7201638965777131,15.499458023187401,43.5298496547051,0.392935037520609,0.0588530695269372,0.849569933847107,1.7896343595961601,0.7171450948754059,0.00720163896577713,0.32091202527843,0.0316667411631675,0.0499998397308551,0.00720163896577713,35.9127661811164,0.00720163896577713,0.00720163896577713,0.000720163896577713,0.047695161703602,0.000720163896577713,0.000720163896577713,0.000720163896577713,0.000720163896577713,0.000720163896577713,0.00910021304235421,0.000720163896577713,0.000720163896577713,0.006315565172127621,0.000720163896577713,0.000720163896577713,0.000720163896577713,0.00587392367382401,0.000720163896577713,0.000720163896577713,0.000720163896577713,0.006066581556547161,0.0066243722418449285,0.000720163896577713,0.000720163896577713,0.000720163896577713,0.000720163896577713,0.000720163896577713,0.000720163896577713,0.000720163896577713,8.15637065637066e-05,0.000720163896577713
7,MP-796,Can Sadurni,CAT01005,Fe oxide,,,0.612001249589765,9.388918436557232,12.987021710183699,1.19282351125893,0.5875670137982829,1.8874498340662598,1.25599724454148,70.84435943183959,0.00612001249589765,0.177462079184113,0.00612001249589765,0.00612001249589765,0.00612001249589765,0.9810430989932092,0.00612001249589765,0.00612001249589765,0.000612001249589765,0.0285500735889994,0.000612001249589765,0.000612001249589765,0.000612001249589765,0.000612001249589765,0.000612001249589765,0.000612001249589765,0.0035622076842134203,0.000612001249589765,0.000612001249589765,0.000612001249589765,0.000612001249589765,0.000612001249589765,0.000612001249589765,0.000612001249589765,0.000612001249589765,0.000612001249589765,0.000612001249589765,0.000612001249589765,0.000612001249589765,0.000612001249589765,0.000612001249589765,0.000612001249589765,0.000612001249589765,0.000612001249589765,0.000612001249589765,1E-05,0.000612001249589765
8,MP-798,Can Sadurni,CAT01005,Alunite,Variscite,Quartz,0.537474838952315,27.422929602715996,36.912857169891204,26.0127132942673,3.37908385961412,1.35634694196542,1.94243170351328,1.08425671763298,0.00537474838952315,0.12104328167434696,0.18316051988952492,0.562221257223948,0.00537474838952315,0.30413116502628995,0.00537474838952315,0.00537474838952315,0.0280807047701143,0.0134820852842122,0.0005374748389523151,0.0005374748389523151,0.0005374748389523151,0.0005374748389523151,0.0005374748389523151,0.0010690635398265301,0.0857555152768016,0.0005374748389523151,0.008130703299068159,0.0005374748389523151,0.00420121030968459,0.0005374748389523151,0.0005374748389523151,0.0005374748389523151,0.0005374748389523151,0.0005374748389523151,0.0005374748389523151,0.0005374748389523151,0.0005374748389523151,0.0005374748389523151,0.00730692513856145,0.0005374748389523151,0.0005374748389523151,0.0005374748389523151,0.0005374748389523151,1E-05,0.0005374748389523151
10,MP-885,Can Sadurni,CAT01005,Trolleite,Quartz,,0.600805009107323,16.558766771279398,29.1528945081427,1.05151544985175,14.0150980087677,2.8709835978217404,4.1202579950879015,20.44832757804389,0.00600805009107323,0.671507886168797,0.00600805009107323,0.32665508130363896,0.00600805009107323,9.73143814017259,0.00600805009107323,0.00600805009107323,0.21953690730293104,0.0703910426699617,0.000600805009107323,0.000600805009107323,0.000600805009107323,0.000600805009107323,0.000600805009107323,0.0198234441625246,0.0292791302087226,0.000600805009107323,0.0285834181742281,0.000600805009107323,0.00876630550026319,0.000600805009107323,0.000600805009107323,0.000600805009107323,0.000600805009107323,0.000600805009107323,0.000600805009107323,0.000600805009107323,0.000600805009107323,0.032111765578153,0.000600805009107323,0.000600805009107323,0.000600805009107323,0.000600805009107323,0.000600805009107323,1E-05,0.000600805009107323
