,precision,recall,f1-score,support
Aheylite,0.8333333333333334,1.0,0.9090909090909091,5.0
Annabergite,1.0,1.0,1.0,2.0
Berlinite,0.6666666666666666,1.0,0.8,2.0
Calcite,1.0,1.0,1.0,4.0
Chlorite-serpentine,1.0,1.0,1.0,4.0
Clinochlore,1.0,1.0,1.0,3.0
Crandallite,0.0,0.0,0.0,0.0
Fluorite,1.0,1.0,1.0,2.0
Metavariscite,0.4,1.0,0.5714285714285715,2.0
Muscovite,1.0,1.0,1.0,11.0
Planerite,1.0,1.0,1.0,1.0
Quartz,1.0,1.0,1.0,1.0
Strengite,1.0,1.0,1.0,2.0
Talc,0.0,0.0,0.0,0.0
Turquoise,1.0,1.0,1.0,2.0
Variscite,1.0,0.8961038961038961,0.9452054794520548,77.0
accuracy,0.9322033898305084,0.9322033898305084,0.9322033898305084,0.9322033898305084
macro avg,0.80625,0.8685064935064934,0.8266078099982209,118.0
weighted avg,0.9771186440677966,0.9322033898305084,0.9497384203908468,118.0
